species,x,y
estast,-8.12527,39.7058
estast,-7.62527,39.7058
estast,-7.54193,39.7058
estast,-7.37527,39.7058
estast,-7.29193,39.7058
estast,-0.291933,39.7058
estast,-0.208599,39.7058
estast,-9.04193,39.6225
estast,-8.9586,39.6225
estast,-8.87527,39.6225
estast,-8.79193,39.6225
estast,-8.54193,39.6225
estast,-8.4586,39.6225
estast,-8.37527,39.6225
estast,-8.29193,39.6225
estast,-8.2086,39.6225
estast,-8.12527,39.6225
estast,-7.7086,39.6225
estast,-7.54193,39.6225
estast,-0.541933,39.6225
estast,-0.458599,39.6225
estast,-9.04193,39.5391
estast,-8.9586,39.5391
estast,-8.7086,39.5391
estast,-8.62527,39.5391
estast,-8.54193,39.5391
estast,-8.4586,39.5391
estast,-8.37527,39.5391
estast,-8.29193,39.5391
estast,-8.12527,39.5391
estast,-8.04193,39.5391
estast,-7.9586,39.5391
estast,-7.87527,39.5391
estast,-7.62527,39.5391
estast,-7.54193,39.5391
estast,-7.4586,39.5391
estast,-6.62527,39.5391
estast,-6.37527,39.5391
estast,-5.79193,39.5391
estast,-0.541933,39.5391
estast,-0.458599,39.5391
estast,-0.375266,39.5391
estast,2.45807,39.5391
estast,2.5414,39.5391
estast,-9.2086,39.4558
estast,-9.12527,39.4558
estast,-9.04193,39.4558
estast,-8.9586,39.4558
estast,-8.87527,39.4558
estast,-8.79193,39.4558
estast,-8.7086,39.4558
estast,-8.54193,39.4558
estast,-8.4586,39.4558
estast,-8.37527,39.4558
estast,-8.29193,39.4558
estast,-8.2086,39.4558
estast,-8.12527,39.4558
estast,-8.04193,39.4558
estast,-7.9586,39.4558
estast,-7.54193,39.4558
estast,-7.4586,39.4558
estast,-7.37527,39.4558
estast,-7.29193,39.4558
estast,-6.37527,39.4558
estast,-6.2086,39.4558
estast,-4.2086,39.4558
estast,-0.458599,39.4558
estast,-0.375266,39.4558
estast,-9.29193,39.3725
estast,-9.2086,39.3725
estast,-9.12527,39.3725
estast,-9.04193,39.3725
estast,-8.9586,39.3725
estast,-8.87527,39.3725
estast,-8.7086,39.3725
estast,-8.62527,39.3725
estast,-8.54193,39.3725
estast,-8.4586,39.3725
estast,-8.37527,39.3725
estast,-8.29193,39.3725
estast,-8.12527,39.3725
estast,-8.04193,39.3725
estast,-7.9586,39.3725
estast,-7.87527,39.3725
estast,-7.79193,39.3725
estast,-7.7086,39.3725
estast,-7.62527,39.3725
estast,-7.54193,39.3725
estast,-7.4586,39.3725
estast,-7.37527,39.3725
estast,-7.29193,39.3725
estast,-6.37527,39.3725
estast,-6.29193,39.3725
estast,-5.7086,39.3725
estast,-0.375266,39.3725
estast,-9.29193,39.2891
estast,-9.2086,39.2891
estast,-9.12527,39.2891
estast,-9.04193,39.2891
estast,-8.87527,39.2891
estast,-8.79193,39.2891
estast,-8.7086,39.2891
estast,-8.62527,39.2891
estast,-8.54193,39.2891
estast,-8.4586,39.2891
estast,-8.37527,39.2891
estast,-8.29193,39.2891
estast,-8.12527,39.2891
estast,-8.04193,39.2891
estast,-7.87527,39.2891
estast,-7.79193,39.2891
estast,-7.7086,39.2891
estast,-7.62527,39.2891
estast,-7.54193,39.2891
estast,-7.4586,39.2891
estast,-5.7086,39.2891
estast,-5.12527,39.2891
estast,-0.291933,39.2891
estast,-9.29193,39.2058
estast,-8.9586,39.2058
estast,-8.87527,39.2058
estast,-8.79193,39.2058
estast,-8.7086,39.2058
estast,-8.62527,39.2058
estast,-8.54193,39.2058
estast,-8.4586,39.2058
estast,-8.37527,39.2058
estast,-8.29193,39.2058
estast,-8.2086,39.2058
